t,energy,relative_drift
12.44,-1.28714,1.15582e-14
12.46,-1.28714,1.13856e-14
12.48,-1.28714,1.05231e-14
12.5,-1.28714,1.03506e-14
12.52,-1.28714,1.01781e-14
12.54,-1.28714,1.12131e-14
12.56,-1.28714,1.22482e-14
12.58,-1.28714,1.20757e-14
12.6,-1.28714,1.20757e-14
12.62,-1.28714,1.22482e-14
12.64,-1.28714,1.15582e-14
