t,body,x,y,z,vx,vy,vz
2.3,Body B,-0.182058,-0.160554,0,-0.987385,-0.786386,0
2.3,Body C,-0.856824,0.317238,0,0.724475,0.323344,0
2.32,Body A,1.04396,-0.147412,0,0.244658,0.464146,0
2.32,Body B,-0.201912,-0.176105,0,-0.998146,-0.768436,0
2.32,Body C,-0.842045,0.323517,0,0.753488,0.30429,0
2.34,Body A,1.04867,-0.13812,0,0.226881,0.465025,0
2.34,Body B,-0.221987,-0.191278,0,-1.0094,-0.748455,0
2.34,Body C,-0.826685,0.329397,0,0.782521,0.283429,0
2.36,Body A,1.05304,-0.128812,0,0.209549,0.465713,0
2.36,Body B,-0.24229,-0.20603,0,-1.02098,-0.726402,0
2.36,Body C,-0.810745,0.334842,0,0.81143,0.260689,0
2.38,Body A,1.05706,-0.119493,0,0.192634,0.466239,0
2.38,Body B,-0.262827,-0.22032,0,-1.03269,-0.70225,0
2.38,Body C,-0.794229,0.339812,0,0.840056,0.236011,0
2.4,Body A,1.06074,-0.110164,0,0.176107,0.46663,0
2.4,Body B,-0.283598,-0.234105,0,-1.04433,-0.675984,0
2.4,Body C,-0.777146,0.344269,0,0.868221,0.209353,0
2.42,Body A,1.0641,-0.100828,0,0.159937,0.46691,0
2.42,Body B,-0.304598,-0.247345,0,-1.05567,-0.647607,0
2.42,Body C,-0.759505,0.348173,0,0.895737,0.180697,0
2.44,Body A,1.06714,-0.0914878,0,0.144095,0.467101,0
2.44,Body B,-0.325821,-0.259996,0,-1.0665,-0.617147,0
2.44,Body C,-0.741322,0.351484,0,0.922402,0.150046,0
2.46,Body A,1.06987,-0.0821445,0,0.12855,0.467221,0
2.46,Body B,-0.347253,-0.272017,0,-1.07656,-0.584655,0
2.46,Body C,-0.722616,0.354162,0,0.948006,0.117434,0
2.48,Body A,1.07229,-0.0727993,0,0.113271,0.467288,0
2.48,Body B,-0.368877,-0.283369,0,-1.08561,-0.550212,0
2.48,Body C,-0.70341,0.356168,0,0.972336,0.0829247,0
2.5,Body A,1.0744,-0.0634532,0,0.0982298,0.467314,0
2.5,Body B,-0.390669,-0.294013,0,-1.09341,-0.513931,0
2.5,Body C,-0.683732,0.357467,0,0.995178,0.0466165,0
2.52,Body A,1.07622,-0.0541069,0,0.0833944,0.467314,0
2.52,Body B,-0.412603,-0.303915,0,-1.09972,-0.475955,0
2.52,Body C,-0.663614,0.358022,0,1.01633,0.00864118,0
2.54,Body A,1.07774,-0.0447608,0,0.0687347,0.467297,0
2.54,Body B,-0.434646,-0.313041,0,-1.10433,-0.436463,0
2.54,Body C,-0.643092,0.357802,0,1.03559,-0.0308345,0
2.56,Body A,1.07897,-0.0354151,0,0.0542203,0.467273,0
2.56,Body B,-0.456763,-0.321365,0,-1.10702,-0.395662,0
2.56,Body C,-0.622204,0.35678,0,1.0528,-0.0716102,0
2.58,Body A,1.07991,-0.0260699,0,0.0398209,0.467247,0
2.58,Body B,-0.478913,-0.328861,0,-1.10761,-0.353792,0
2.58,Body C,-0.600995,0.354931,0,1.06779,-0.113455,0
2.6,Body A,1.08056,-0.0167251,0,0.0255061,0.467226,0
2.6,Body B,-0.501053,-0.335511,0,-1.10597,-0.311113,0
2.6,Body C,-0.579508,0.352236,0,1.08047,-0.156113,0
2.62,Body A,1.08093,-0.00738077,0,0.0112456,0.467213,0
2.62,Body B,-0.523136,-0.341302,0,-1.10198,-0.267909,0
2.62,Body C,-0.557792,0.348683,0,1.09074,-0.199304,0
2.64,Body A,1.08101,0.00196344,0,-0.00299097,0.46721,0
2.64,Body B,-0.545116,-0.346226,0,-1.09557,-0.224473,0
2.64,Body C,-0.535895,0.344262,0,1.09856,-0.242736,0
2.66,Body A,1.08081,0.0113077,0,-0.0172339,0.467217,0
2.66,Body B,-0.566943,-0.350281,0,-1.08672,-0.181106,0
2.66,Body C,-0.513866,0.338974,0,1.10395,-0.286111,0
2.68,Body A,1.08032,0.0206522,0,-0.0315135,0.467234,0
2.68,Body B,-0.588568,-0.353473,0,-1.07543,-0.138104,0
2.68,Body C,-0.491753,0.33282,0,1.10694,-0.32913,0
