t,body,x,y,z,vx,vy,vz
0.65,Venus,0.675873,0.256761,0,-2.62416,6.90678,0
0.65,Earth,-0.587732,-0.809036,0,5.08334,-3.69279,0
0.65,Mars,-0.860668,1.25713,0,-4.20015,-2.87658,0
0.66,Sun,5.65032e-06,2.79924e-05,0,-8.14966e-06,3.52704e-05,0
0.66,Mercury,-0.0201772,-0.386422,0,10.0866,-0.527433,0
0.66,Venus,0.64615,0.324369,0,-3.31529,6.603,0
0.66,Earth,-0.535772,-0.844343,0,5.30518,-3.36632,0
0.66,Mars,-0.902181,1.22767,0,-4.10174,-3.01529,0
0.67,Sun,5.57379e-06,2.83425e-05,0,-7.14373e-06,3.47745e-05,0
0.67,Mercury,0.080231,-0.378548,0,9.88092,2.09326,0
0.67,Venus,0.609682,0.388591,0,-3.97184,6.23029,0
0.67,Earth,-0.481698,-0.876318,0,5.50609,-3.02656,0
0.67,Mars,-0.942687,1.19683,0,-3.99874,-3.15064,0
0.68,Sun,5.50769e-06,2.86884e-05,0,-6.06507e-06,3.44244e-05,0
0.68,Mercury,0.175205,-0.345031,0,9.00597,4.57204,0
0.68,Venus,0.566851,0.448758,0,-4.58695,5.79254,0
0.68,Earth,-0.425723,-0.904834,0,5.68526,-2.67486,0
0.68,Mars,-0.982141,1.16466,0,-3.89128,-3.28248,0
0.69,Sun,5.45265e-06,2.90315e-05,0,-4.93703e-06,3.42408e-05,0
0.69,Mercury,0.258313,-0.288142,0,7.52108,6.74104,0
0.69,Venus,0.518103,0.50424,0,-5.15421,5.29429,0
0.69,Earth,-0.368068,-0.92978,0,5.842,-2.3126,0
0.69,Mars,-1.0205,1.1312,0,-3.77947,-3.41065,0
0.7,Sun,5.40902e-06,2.93738e-05,0,-3.78884e-06,3.42393e-05,0
0.7,Mercury,0.323925,-0.211735,0,5.52686,8.4534,0
0.7,Venus,0.463946,0.554459,0,-5.6677,4.74075,0
0.7,Earth,-0.30896,-0.951056,0,5.97568,-1.94122,0
0.7,Mars,-1.05772,1.09646,0,-3.66344,-3.53502,0
0.71,Sun,5.37683e-06,2.9717e-05,0,-2.65428e-06,3.44293e-05,0
0.71,Mercury,0.3676,-0.120987,0,3.15838,9.59321,0
0.71,Venus,0.404946,0.59889,0,-6.12205,4.13769,0
0.71,Earth,-0.248633,-0.968579,0,6.08578,-1.56217,0
